Dataset,Noise_Level,Source,Epoch,Train_Loss,Valid_ROC,Test_ROC,Best_Valid_ROC,Best_Test_ROC,Periodic_Checkpoint,Best_Checkpoint
27_mnist,0.2,1,1,15.756564915180206,0.7462556600487635,0.6911273489818508,0.7462556600487635,0.6911273489818508,,checkpoints\27_mnist\noise_0.2\source_1\best_checkpoint.pt
27_mnist,0.2,1,2,15.339465498924255,0.8709508881922675,0.8411586741500816,0.8709508881922675,0.8411586741500816,,checkpoints\27_mnist\noise_0.2\source_1\best_checkpoint.pt
27_mnist,0.2,1,3,14.910889565944672,0.918234064785789,0.9070957186772663,0.918234064785789,0.9070957186772663,,checkpoints\27_mnist\noise_0.2\source_1\best_checkpoint.pt
27_mnist,0.2,1,4,14.394318044185638,0.9245036572622779,0.9283741101542237,0.9245036572622779,0.9283741101542237,,checkpoints\27_mnist\noise_0.2\source_1\best_checkpoint.pt
27_mnist,0.2,1,5,13.776181161403656,0.9405259491466388,0.9487760461470043,0.9405259491466388,0.9487760461470043,,checkpoints\27_mnist\noise_0.2\source_1\best_checkpoint.pt
27_mnist,0.2,1,6,12.97599470615387,0.9414838035527691,0.9591344515174042,0.9414838035527691,0.9591344515174042,,checkpoints\27_mnist\noise_0.2\source_1\best_checkpoint.pt
27_mnist,0.2,1,7,11.955862402915955,0.942528735632184,0.9680353438789323,0.942528735632184,0.9680353438789323,,checkpoints\27_mnist\noise_0.2\source_1\best_checkpoint.pt
27_mnist,0.2,1,8,10.737478852272034,0.9450539881574364,0.9763714093728798,0.9450539881574364,0.9763714093728798,,checkpoints\27_mnist\noise_0.2\source_1\best_checkpoint.pt
27_mnist,0.2,1,9,9.359265565872192,0.9494949494949495,0.9798869697038555,0.9494949494949495,0.9798869697038555,,checkpoints\27_mnist\noise_0.2\source_1\best_checkpoint.pt
27_mnist,0.2,1,10,8.054803162813187,0.9534134447927552,0.982214445934058,0.9534134447927552,0.982214445934058,checkpoints\27_mnist\noise_0.2\source_1\epoch_010.pt,checkpoints\27_mnist\noise_0.2\source_1\best_checkpoint.pt
27_mnist,0.2,1,11,6.8258984088897705,0.958899338209683,0.9849704115120805,0.958899338209683,0.9849704115120805,,checkpoints\27_mnist\noise_0.2\source_1\best_checkpoint.pt
27_mnist,0.2,1,12,5.755634188652039,0.9612504353883664,0.9860286503559383,0.9612504353883664,0.9860286503559383,,checkpoints\27_mnist\noise_0.2\source_1\best_checkpoint.pt
27_mnist,0.2,1,13,4.817703723907471,0.9610762800417973,0.9861195420357789,0.9612504353883664,0.9860286503559383,,checkpoints\27_mnist\noise_0.2\source_1\best_checkpoint.pt
27_mnist,0.2,1,14,4.00966489315033,0.9602055033089516,0.9856358684537703,0.9612504353883664,0.9860286503559383,,checkpoints\27_mnist\noise_0.2\source_1\best_checkpoint.pt
27_mnist,0.2,1,15,3.355409950017929,0.9614245907349357,0.9850450725348067,0.9614245907349357,0.9850450725348067,,checkpoints\27_mnist\noise_0.2\source_1\best_checkpoint.pt
27_mnist,0.2,1,16,2.8180728778243065,0.961947056774643,0.9852073791059505,0.961947056774643,0.9852073791059505,,checkpoints\27_mnist\noise_0.2\source_1\best_checkpoint.pt
27_mnist,0.2,1,17,2.424142971634865,0.9626436781609196,0.9846100909241411,0.9626436781609196,0.9846100909241411,,checkpoints\27_mnist\noise_0.2\source_1\best_checkpoint.pt
27_mnist,0.2,1,18,2.066121645271778,0.9624695228143504,0.9834317452176369,0.9626436781609196,0.9846100909241411,,checkpoints\27_mnist\noise_0.2\source_1\best_checkpoint.pt
