Dataset,Noise_Level,Source,Epoch,Train_Loss,Valid_ROC,Test_ROC,Best_Valid_ROC,Best_Test_ROC,Periodic_Checkpoint,Best_Checkpoint
imdb,0.2,1,1,20.228120625019073,0.4543552681627996,0.529058495294841,0.4543552681627996,0.529058495294841,,checkpoints\imdb\noise_0.2\source_1\best_checkpoint.pt
imdb,0.2,1,2,17.041918396949768,0.45720806390262464,0.5019466906259359,0.45720806390262464,0.5019466906259359,,checkpoints\imdb\noise_0.2\source_1\best_checkpoint.pt
imdb,0.2,1,3,12.959653377532959,0.4813617344998098,0.5072902381740515,0.4813617344998098,0.5072902381740515,,checkpoints\imdb\noise_0.2\source_1\best_checkpoint.pt
imdb,0.2,1,4,9.992555975914001,0.5099847850893876,0.5217091470815404,0.5099847850893876,0.5217091470815404,,checkpoints\imdb\noise_0.2\source_1\best_checkpoint.pt
imdb,0.2,1,5,8.387105613946915,0.5293837961201978,0.5257956211282924,0.5293837961201978,0.5257956211282924,,checkpoints\imdb\noise_0.2\source_1\best_checkpoint.pt
imdb,0.2,1,6,7.627489298582077,0.5285279573982502,0.5256064690026954,0.5293837961201978,0.5257956211282924,,checkpoints\imdb\noise_0.2\source_1\best_checkpoint.pt
imdb,0.2,1,7,7.088804215192795,0.5364206922784329,0.5251966393972352,0.5364206922784329,0.5251966393972352,,checkpoints\imdb\noise_0.2\source_1\best_checkpoint.pt
imdb,0.2,1,8,6.7282265573740005,0.5421262837580829,0.529204300058322,0.5421262837580829,0.529204300058322,,checkpoints\imdb\noise_0.2\source_1\best_checkpoint.pt
imdb,0.2,1,9,6.395212560892105,0.5581970330924306,0.5365930549644552,0.5581970330924306,0.5365930549644552,,checkpoints\imdb\noise_0.2\source_1\best_checkpoint.pt
imdb,0.2,1,10,6.11020390689373,0.5739825028527957,0.5478476064374773,0.5739825028527957,0.5478476064374773,checkpoints\imdb\noise_0.2\source_1\epoch_010.pt,checkpoints\imdb\noise_0.2\source_1\best_checkpoint.pt
imdb,0.2,1,11,5.848367050290108,0.6056485355648535,0.5636102835705616,0.6056485355648535,0.5636102835705616,,checkpoints\imdb\noise_0.2\source_1\best_checkpoint.pt
imdb,0.2,1,12,5.586203619837761,0.6413084823126664,0.5865646821456156,0.6413084823126664,0.5865646821456156,,checkpoints\imdb\noise_0.2\source_1\best_checkpoint.pt
imdb,0.2,1,13,5.256674200296402,0.6820083682008369,0.6147916962216864,0.6820083682008369,0.6147916962216864,,checkpoints\imdb\noise_0.2\source_1\best_checkpoint.pt
